74,24,88
48,77,55
40,82,79
19,10,17
63,20,27
45,69,95
83,61,97
54,32,90
33,69,15
16,61,48
79,31,51
50,87,94
99,77,85
96,89,90
49,63,23
89,57,23
55,17,62
28,38,42
10,41,45
68,32,58
18,36,79
69,57,59
84,15,35
96,27,32
96,57,79
67,43,67
82,92,71
89,75,92
66,27,69
82,38,79
47,93,45
88,24,28
31,24,93
37,36,20
55,44,87
66,16,83
29,31,19
35,90,11
27,12,88
49,81,34
33,16,13
94,10,51
79,84,95
66,72,25
47,77,50
38,33,86
74,77,75
41,82,93
91,57,95
78,26,32
24,90,64
78,95,29
49,93,83
98,11,70
79,74,59
14,74,82
94,24,64
50,78,40
27,77,45
91,71,85
73,65,100
47,43,63
81,99,90
98,45,58
99,41,87
44,33,68
39,17,87
82,59,36
88,83,30
74,63,80
44,30,36
35,20,43
19,62,85
100,35,33
93,32,88
79,36,16
99,84,62
44,29,95
31,24,34
19,51,30
40,53,13
47,86,40
58,13,11
60,67,43
71,46,81
72,48,100
27,79,31
17,75,84
61,85,70
42,57,22
87,45,83
69,52,93
97,33,85
42,29,31
38,39,70
67,82,70
29,89,49
98,100,32
61,98,72
18,58,21
87,48,47
17,89,60
85,93,17
74,14,31
84,52,83
23,94,33
54,14,79
52,37,30
54,65,41
31,38,33
82,47,14
50,21,97
74,23,33
38,17,72
56,100,66
53,45,38
92,25,80
85,97,13
20,29,96
26,18,32
37,17,49
36,39,76
94,53,38
13,13,80
38,33,91
93,18,76
44,16,11
47,68,30
39,85,52
50,65,43
28,64,93
44,32,73
51,35,90
16,90,33
21,54,67
53,42,95
74,89,49
59,73,65
81,80,62
50,74,74
49,77,81
23,53,23
69,61,76
78,89,85
39,36,53
58,18,55
11,44,43
62,51,74
13,73,60
33,87,81
33,90,32
77,83,55
79,87,30
47,74,36
58,92,62
26,14,15
49,44,60
66,62,59
98,53,97
37,20,78
45,45,47
63,44,46
42,73,81
82,24,35
40,56,78
40,16,11
60,66,21
88,16,56
41,74,30
77,20,69
60,52,52
53,23,15
61,64,81
26,30,27
61,46,34
59,19,32
75,52,73
37,32,76
22,76,79
98,91,77
59,36,60
92,69,87
30,71,38
57,42,86
46,45,70
50,62,83
67,99,54
12,28,40
42,85,17
47,20,89
21,56,64
34,90,14
67,18,53
48,77,80
85,77,32
100,15,17
33,89,69
32,50,26
34,13,29
38,53,15
94,35,96
96,18,24
78,30,84
56,72,27
75,95,63
87,33,98
52,12,80
81,100,100
28,85,84
26,29,19
15,91,70
34,34,30
31,50,81
39,89,35
51,51,74
24,17,39
92,24,98
26,65,87
40,16,69
